PosRecip	yellow	4131973	2533180	324456	484120
NegRecip	gray	4148934	3303379	332800	482485
Pro Norms	yellow	3373888	1638199	520027	1915180
Con Norms	gray	3363221	4097869	467129	1887224
Pos Histo	yellow	1412807	2477343	467129	1940877
Neg Histo	gray	1412807	3311984	467129	1974740
Pos Goals	yellow	5354697	2455106	467129	1909128
Neg Goals	gray	5347060	3313887	467129	1916765
p- vision	yellow	1219200	152400	381000	800100
natl p-id	yellow	101600	152400	381000	863600
Peace edu	yellow	1079500	1143001	355600	546100
p-parents	yellow	101600	825603	495198	685800
soc p-val	yellow	177800	1908025	365276	635000
p-leaders	yellow	177801	2857636	445743	660398
conf mech	yellow	4000500	4902200	520700	800100
Dvalu vio	yellow	469900	3636179	461690	609600
heal proc	yellow	1130299	4984751	425449	660398
accrt his	yellow	177801	4421068	456466	939798
acc media	yellow	3061584	825603	393701	584200
info flow	yellow	2345145	533399	489055	609600
trust&res	yellow	4000500	825603	495198	615592
coop strc	yellow	4800600	533400	393700	711200
regl orgs	yellow	5676900	762103	495198	628543
 equality	yellow	6781225	1203274	409424	965200
gender eq	yellow	7263825	476298	342954	889000
 minority	yellow	8152825	1257301	380897	737175
Opp struc	yellow	8242300	2090662	442518	647700
cross-cut	yellow	7988300	3855792	407501	711200
ew-system	yellow	7594312	4711698	425451	1295975
intl norm	yellow	5803900	4801334	425451	876300
p-symbols	yellow	5263668	5397500	355600	1147703
p-languag	yellow	4521200	6311900	419100	990600
pdjustice	yellow	2768600	5816600	457200	762000
civil soc	yellow	3771900	6273800	381000	602133
ruleoflaw	yellow	2954745	5302985	335815	575855
basicneed	yellow	2067921	5305793	345707	554448
governanc	yellow	1079500	6045200	457200	939800
comp strc	gray	520700	5549900	355600	787399
Shared id	yellow	5894134	6083300	457200	1034474
